,Team,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
34,Southampton,15.0,10.0,11.0,8.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,7.0,6.0,8.0,17.0,16.0,11.0
35,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,13.0,14.0,13.0,9.0,9.0,9.0,13.0,19.0,0.0,0.0
36,Sunderland,7.0,7.0,17.0,20.0,0.0,0.0,20.0,0.0,15.0,16.0,13.0,10.0,13.0,17.0,14.0,16.0,17.0,20.0,0.0,0.0,0.0
37,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,12.0,8.0,12.0,15.0,18.0,0.0,0.0
38,Tottenham,10.0,12.0,9.0,10.0,15.0,9.0,5.0,5.0,11.0,8.0,4.0,5.0,4.0,5.0,6.0,5.0,3.0,2.0,3.0,4.0,6.0
39,Watford,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,14.0,11.0,19.0
40,West Brom,0.0,0.0,0.0,19.0,0.0,17.0,19.0,0.0,0.0,20.0,0.0,11.0,10.0,8.0,17.0,13.0,14.0,10.0,20.0,0.0,0.0
41,West Ham,9.0,15.0,7.0,18.0,0.0,0.0,9.0,15.0,10.0,9.0,17.0,20.0,0.0,10.0,13.0,12.0,7.0,11.0,13.0,10.0,16.0
42,Wigan,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,14.0,11.0,16.0,16.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Wolves,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
44,Wimbledon,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
